Use?,Notes,Category,Question,Short name,Include,Grouping Required,l1,l2,r1,r2,Col to show,Y-axis Label,Title
1,Check filter (all vs wealthy countries),,Agree/disagree: America compared to other countries -- America has more freedom than any other country.,excep_2,Include,Yes,1,2,3,4,1,% Somewhat-Strongly Agree,America has more freedom than any other country.
1,Check filter (all vs wealthy countries),,Agree/disagree: America compared to other countries -- America has a God-given role to play in the world.,excep_3,Include,Yes,1,2,3,4,1,% Somewhat-Strongly Agree,America has a God-given role to play in the world.
1,Check filter (all vs wealthy countries),,"Agree/disagree: America compared to other countries -- Compared to other countries, Americans have historically treated each other poorly.",excep_4,Include,Yes,1,2,3,4,1,% Somewhat-Strongly Agree,"Compared to other countries, Americans have historically treated each other poorly."
1,Check filter (all vs wealthy countries),,"Agree/disagree: America compared to other countries -- Compared to other countries, Americans have historically treated foreigners poorly.",excep_5,Include,Yes,1,2,3,4,1,% Somewhat-Strongly Agree,"Compared to other countries, Americans have historically treated foreigners poorly."
1,Check filter (all vs wealthy countries),,"Agree/disagree: America compared to other countries -- Over the course of its history, America's impact on the world has been mostly negative.",excep_6,Include,Yes,1,2,3,4,1,% Somewhat-Strongly Agree,"Over the course of its history, America's impact on the world has been mostly negative."
1,,,When it comes to slaveowners and racists from America's past,wdoing_1,Include,Yes,1,2,3,4,2,% Agree (3-4),"When it comes to slaveowners and racists from America's past, we should not judge them by today's moral standards."
1,,,Progress toward gender equality has the United States made compared to most other countries,pgress_women,Include,Yes,1,2,4,5,1,% More Progress,Progress towards gender equality in the US
1,,,"To live up to the principle that men and women are equal, America needs to make...",pgress_togo_1,Include,Yes,1,2,3,4,1,% Some or Major Changes,"To live up to the principle that men and women are equal, America needs to make..."
1,,,Agree/disagree: Acknowledge the wrongs committed against Native American populations / Move forward,ind_pop,Include,Yes,1,2,3,4,1,% Agree (1-2),We cannot move forward as a nation if we don't acknowledge the wrongs committed against Native American populations throughout American history.
1,,,"Agree/disagree: Acknowledge the wrongs of slavery, Jim Crow / Move forward",slave_ackn,Include,Yes,1,2,3,4,1,% Agree (1-2),"We cannot move forward as a nation if we don't acknowledge the wrongs of slavery, Jim Crow, and segregation."
1,,,Positive/negative: The influence of Christianity on the United States has mostly been...,eval_relig,Include,Yes,1,2,4,5,1,% Positive,The influence of Christianity on the United States has mostly been…
1,,,Agree/disagree: Positive political changes have happened in the United States,pos_change,Include,Yes,1,2,4,5,1,% Agree (1-2),Positive political changes have happened in the United States largely because of protests and activism
1,,,The way America operates today...,racial_fair,Include,Yes,1,3,4,5,2,% Agree (1-2),The way America operates today somewhat or strongly favors White Americans.
1,,,"Founding Father treat A: Depictions of the Founding Fathers and American presidents in public spaces due to their role in slavery, mistreatment of Native Americans and other wrongdoing.",found_father_A,Include,Yes,1,2,3,4,1,% Many or Nearly All,How many statues and other symbols of the Founding Fathers and American presidents do you think should be removed?
1,,,Founding Father treat B: Depictions of Confederate figures in public spaces due to their role in the Civil War and promoting slavery.,found_father_B,Include,Yes,1,2,3,4,1,% Many or Nearly All,How many statues and other symbols of the Confederacy do you think should be removed?
1,,,Agree/disagree: Meta feelings -- I feel that people like me get treated worse than others,meta_feel_1,Include,Yes,1,3,4,6,1,% Slightly-Strongly Agree,I feel that people like me get treated worse than others
1,,,Agree/disagree: Meta feelings -- I feel that people like me get less respect than others,meta_feel_2,Include,Yes,1,3,4,6,1,% Slightly-Strongly Agree,I feel that people like me get less respect than others
