cols from HT,Crosswalk to HT document,Use?,Question in Crunch,Category,Question,Short name,Include,Grouping Required,l1,l2,r1,r2,Col to show,Y-axis Label,Title,Results,Result notes
pew_religimp,pew_religimp,,Importance of religion (Pew version),,How important is religion in your life?,pew_religimp,Include,Yes,1,2,3,4,1,% Somewhat or Very Important,How important is religion in your life?,,
retrospective_pers,#N/A,,Retrospective - You personally,,"Taking all things together, are things better, about the same, or worse than a year ago for you personally?",retrospective_pers,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for you personally?",,
retrospective_fam,#N/A,,Retrospective - Your family,,"Taking all things together, are things better, about the same, or worse than a year ago for your family?",retrospective_fam,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for your family?",,
retrospective_soc,#N/A,,Retrospective - American society,,"Taking all things together, are things better, about the same, or worse than a year ago for American society?",retrospective_soc,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for American society?",,
retrospective_econ,#N/A,,Retrospective - American economy,,"Taking all things together, are things better, about the same, or worse than a year ago for American economy?",retrospective_econ,Include,Yes,1,3,4,5,1,% About the Same or Better,"Taking all things together, are things better, about the same, or worse than a year ago for American economy?",,
prospective_pers,#N/A,,Prospective - You personally,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for you personally?",prospective_pers,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for you personally?",,
prospective_fam,#N/A,,Prospective - Your family,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for your family?",prospective_fam,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for your family?",,
prospective_soc,#N/A,,Prospective - American society,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American society?",prospective_soc,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American society?",,
prospective_econ,#N/A,,Prospective - American economy,,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American economy?",prospective_econ,Include,Yes,1,3,4,5,1,% About the Same or Better,"And thinking about the next five years, do you expect things to be better, about the same, or worse for American economy?",,
poli_attitude,poli_attitude,,Emotional disposition towards country,,How would you describe your attitude towards US politics today? ,poli_attitude,Include,Yes,1,2,3,4,1,% Somewhat or Very Optimistic,How would you describe your attitude towards US politics today? ,,
feelings_Amer_angry,#N/A,,Feelings toward America - Angry,,How well do the following words describe your feelings toward America today? - Angry,feelings_Amer_angry,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Angry,,
feelings_Amer_scared,#N/A,,Feelings toward America - Scared,,How well do the following words describe your feelings toward America today? - Scared,feelings_Amer_scared,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Scared,,
feelings_Amer_frust,#N/A,,Feelings toward America - Frustrated,,How well do the following words describe your feelings toward America today? - Frustrated,feelings_Amer_frust,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Frustrated,,
feelings_Amer_disill,#N/A,,Feelings toward America - Disillusioned,,How well do the following words describe your feelings toward America today? - Disillusioned,feelings_Amer_disill,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Disillusioned,,
feelings_Amer_hope,#N/A,,Feelings toward America - Hopeful,,How well do the following words describe your feelings toward America today? - Hopeful,feelings_Amer_hope,Include,Yes,1,2,3,4,1,% Somewhat or Very Well,How well do the following words describe your feelings toward America today? - Hopeful,,
